S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Page
1.,Maruti Sec.,48.69,1.83,24.35,0.00,0.13,316.67,3.32,,6847.37,1
2.,Carnation Inds.,71.12,,24.59,0.00,-0.26,-333.33,0.00,,392.11,1
3.,Monotype India,0.42,4.09,29.53,0.00,-0.08,-102.68,0.00,-100.00,285.75,1
4.,Union Qual. Pla.,14.94,1.95,10.35,0.00,-0.03,98.21,0.00,,201.56,1
5.,IMEC Services,246.90,1.91,46.91,0.00,-0.22,-145.83,0.21,-81.90,177.14,1
6.,Mediaone Global,21.00,,30.91,0.00,-0.47,-204.44,0.00,-100.00,165.29,1
7.,Connplex Cinemas,246.00,20.95,469.86,0.00,13.05,36.08,64.06,57.43,163.38,1
8.,Ksolves India,278.05,21.62,659.55,5.57,9.80,-5.04,42.30,12.20,157.26,1
9.,iStreet Network,48.91,88.10,325.09,0.20,0.90,2350.00,18.65,,150.00,1
10.,Wework India,579.75,44.05,7770.00,0.00,7.39,-96.38,573.03,22.26,137.07,1
11.,SSMD Agrotech,51.00,8.22,44.20,0.00,,,,,124.88,1
12.,Reganto Enterprises,12.98,3.45,189.90,0.00,4.70,2573.68,76.59,,117.18,1
13.,Ambitious Plasto,9.83,47.58,5.71,0.00,0.04,,2.17,600.00,112.50,1
14.,Sanofi Consumer,4079.00,43.72,9394.19,1.35,62.90,37.13,233.90,46.28,111.44,1
15.,Tips Music,524.70,35.62,6707.32,2.48,58.66,32.62,94.29,21.40,108.83,1
S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,1
16.,Stellant Secu.,681.65,8.08,252.37,0.00,29.24,2632.71,41.05,2963.43,106.67,1
17.,Magnus Steel,45.23,120.29,236.98,0.00,1.50,7600.00,7.28,,105.56,1
18.,Colgate-Palmoliv,2166.30,44.44,58920.25,2.35,327.51,-17.10,1519.50,-6.15,105.34,1
19.,P & G Hygiene,12157.00,47.74,39462.52,0.90,209.86,-0.96,1150.17,1.32,103.79,1
20.,Yuvraaj Hygiene,8.36,12.89,75.79,0.00,1.17,-15.22,9.94,-8.39,103.66,1
21.,Krishna Fil. Ind,6.48,,5.05,0.00,-0.02,,0.00,,100.00,1
22.,TPI India,16.00,129.70,68.74,0.00,0.22,46.67,8.93,17.04,99.12,1
23.,Safe Enterprises,214.55,18.02,999.90,0.00,33.25,96.05,112.38,94.56,96.45,1
24.,Nestle India,1293.80,83.33,249485.31,1.04,753.20,-1.88,5643.61,10.57,95.66,1
25.,Workmates Core2,371.40,29.82,479.80,0.00,9.09,30.23,74.69,55.99,92.32,1
26.,Bridge Securitie,13.45,75.78,52.29,0.00,0.33,-54.79,0.42,-44.00,90.26,2
27.,Glottis,52.09,10.06,481.33,0.00,12.36,-39.91,214.71,-25.19,89.96,2
28.,Ravelcare,172.50,22.67,118.32,0.00,,,,,89.71,2
29.,B.A.G. Converge.,116.10,21.80,246.35,0.00,6.03,45.65,21.86,58.75,89.63,2
30.,Shri Kanha Stain,28.30,7.62,44.10,0.00,,,,,88.66,2
31.,Saffron Industri,29.96,6.17,21.53,0.00,0.24,233.33,0.81,76.09,86.90,2
32.,Shantidoot Infra,166.10,5.90,29.86,0.00,0.65,-27.78,17.53,247.13,86.13,2
33.,Nexus Surgical,16.52,17.38,9.04,0.00,0.17,-19.05,1.17,18.18,83.95,2
34.,Newtrac Foods,5.45,93.90,36.62,0.00,-0.17,-119.54,0.00,-100.00,83.28,2
35.,Icodex Publish.,43.10,6.65,67.40,0.00,5.50,27.02,13.89,28.14,82.77,2
36.,RRP Defense,881.65,483.81,1209.52,0.00,1.59,15800.00,5.30,7471.43,82.72,2
37.,Waaree Renewab.,873.75,21.71,9117.21,0.11,120.20,124.67,851.06,136.18,82.31,2
